9.95	0.12	1	Bvvc	Gggg	Bvvc	8	8	1	2	9.27	1.02	10.07	1	1	0	0	0	0	0	0.25	1.75	0.25	1.75	0												
10.01	0.50	2	Eccc	Gggg	E8ccc	8	8	2	2	0.13	7.67	10.51	0	0	-175.9	1	0	0.125	0.5	0.25	7.55	0.25	4.08	0	0.25	0										
10.05	0.42	7	Bvcc	Gggg	Bvcc	8	8	2	2	0.8	7.05	10.47	0	0	0	0	0	0	2.50	0.25	6.22	0.25	5.21	0												
10.07	0.45	1	Fccc	Gggg	F10ccc	8	8	2	2	1.02	7.77	10.52	1	0	3.98	1	0	0	0	0.25	6.78	0.25	3.24	0												
10.22	0.11	3	Avvc	Gggg	Avvc	8	8	2	2	3.33	5	10.33	0	0	0	0	0	0	1.02	0.125	1.66	0														
10.27	0.20	5	Dccc	Gggg	D11ccc	8	8	2	2	4.12	7.15	10.48	0	0	172.6	0	0	0.25	2.15	0.25	3.03	0.125	1.67	0.03												
10.31	0.23	4	Avvv	Gggg	Avvv	8	8	2	2	4.6	8.11	10.54	1	0	0	0	0	0	0	0.25	3.63	0														
10.35	0.54	5	Dccc	Gggg	D11ccc	8	9	2	1	5.23	3.27	10.88	0	0	-176.44	0	0	0	4.02	0.25	7.99	0.25	4.02	0												
10.42	0.15	1	Eccv	Gggg	Eccv	8	8	2	2	6.25	8.46	10.56	0	0	0	0	0	0	1.63	0.25	1.92	0.25	1.92	0.125	2.23	0										
10.48	0.24	7	Fccc	Gggg	F13ccc	8	9	2	1	7.26	0.83	10.72	0	0	0	0	0	0.25	2.81	0.25	3.57	0	0.70	0												
